year,state,total_revenue,total_revenue_pp,federal_revenue,federal_revenue_pp,state_revenue,state_revenue_pp,local_revenue,local_revenue_pp,current_spending,current_spending_pp,total_salary,total_salary_pp,total_benefits,total_benefits_pp,all_instruction,all_instruction_pp,instructional_staff_salary,instructional_staff_salary_pp,instructional_staff_benefits,instructional_staff_benefits_pp,all_support_services,all_support_services_pp,support_services_staff_salary,support_services_staff_salary_pp,support_services_staff_benefits,support_services_staff_benefits_pp,ss_pupil_support_services,ss_pupil_support_services_pp,ss_instructional_staff_support_services,ss_instructional_staff_support_services_pp,ss_general_administration,ss_general_administration_pp,ss_school_administration,ss_school_administration_pp,ss_operation_and_maintenance_of_plant,ss_operation_and_maintenance_of_plant_pp,ss_pupil_transportation,ss_pupil_transportation_pp,ss_other_nonspecified_support_services,ss_other_nonspecified_support_services_pp,total_capital_outlay,total_capital_outlay_pp,short_term_debt,short_term_debt_pp,long_term_debt,long_term_debt_pp,enrollment,cpi,total_debt,total_debt_pp
2006,United States,673911356782.0619,13929.403847341446,60911058281.677444,1259.0016456442002,313971845207.2099,6489.6358772061085,299028453293.1745,6180.766324491137,583867185348.7743,11817.583933260572,352597894134.1188,7288.010132205753,113997438470.66853,2356.2618955504104,351548963615.0954,7168.414351620087,238427372842.58533,4928.16605334844,75605824689.69533,1562.737166688269,201744516106.90408,4169.958806837019,102725470196.914,2123.2777278350804,34296558815.0456,708.8972647452941,30136075335.67778,622.8990012402464,28034610129.8057,579.4601791179222,10901571813.027842,225.32838245292533,31711911395.765186,655.4748848145646,56445827993.41501,1166.7054641952489,24970788145.516975,516.131833796987,19543731293.6956,403.95906121912464,76052158263.70047,1571.9577323843741,12895558587.623161,266.5428885868482,404454400871.25793,8359.85886515145,48380507,198.9416667,417349959458.8811,8626.401753738297
2007,United States,701894329367.8103,14489.528375634456,58527549032.11472,1208.215916947558,333768902131.4511,6890.143186363369,309597878204.2445,6391.169272323528,602714016668.8889,12183.97823324939,361621779283.7437,7465.122170291311,120461367997.85167,2486.73967466391,363271386766.2607,7395.129441752568,244389318410.15717,5045.047639016814,80325216967.2741,1658.1961814591987,208237838415.9481,4298.748437855197,105719170031.67378,2182.404282881457,35830825570.25677,739.6692398413617,31510331867.630272,650.4798742479619,28874450834.932537,596.0662943628988,11114666308.20579,229.4395169441287,32676826925.319187,674.5670531129967,57873345791.756485,1194.703904523007,25718289259.64789,530.9136896777259,20469927428.455944,422.565500497276,80750725616.00003,1666.9689059437956,8820461466.551453,182.0844510121894,431891374250.95166,8915.73501908266,48441473,204.112,440711835717.5031,9097.81947009485
2008,United States,707493525066.2673,14618.815097928988,57208793337.688484,1182.0978195446985,341427634682.59644,7054.862071932691,308857097045.9824,6381.86736007445,615910865055.6548,12468.255841348422,366623874147.10956,7575.486814083727,125450503303.88101,2592.1611429418376,370383073555.51904,7548.96760901863,247380604011.8915,5111.582853108879,83514690168.0937,1725.644294396364,213792813003.93628,4417.562373715065,107705598965.28433,2225.4984950917406,37742435273.855125,779.8615176040701,32605988539.113724,673.7360828522703,29842210949.314777,616.6262090663441,11282961618.993404,233.14294718778933,33247818931.252476,686.9956853848188,58939979684.10578,1217.8659316008766,26881058524.38422,555.4448716246858,20992794756.771885,433.7749532439863,83438421323.24242,1724.0764770483358,9706279418.456284,200.55908431907937,448994555949.6796,9277.504465653992,48396076,211.684,458700835368.1359,9478.06354997307
2009,United States,708295887248.8036,14683.065658300107,67000561189.11267,1388.9344321379454,330991517951.4138,6861.502936611741,310303808108.27716,6432.640275315527,620513006579.6816,12583.447269903318,371959104001.2713,7710.766309038574,130869923945.78151,2712.953960455978,373825342762.9622,7633.44613833284,250511054567.01492,5193.132376767473,83970838041.22992,1740.7286237956732,214178005509.68625,4439.934911673838,109070062149.81853,2261.0306870937543,38235789268.07666,792.6306322959084,33050515957.4899,685.1422908156692,29600538123.37577,613.6232304217588,11563704367.476017,239.71530214147933,33458023581.094837,693.5922552161562,59255550350.58668,1228.3731227635824,26427378725.86858,547.8453515141368,20822294403.794464,431.6433588010548,81556614893.14963,1690.6760687085325,10147673716.160511,210.3621633942552,468225850807.48584,9706.384213601283,48238962,214.6485833,478373524523.64636,9916.746376995538
2010,United States,703703974467.04,14586.726852969123,87791101159.70117,1819.7816579055893,305918377453.9276,6341.231036119024,309994495853.4113,6425.71415894451,621081176415.3994,12581.148790917683,370362745654.92236,7677.056620238551,129145044998.37956,2676.980322797728,376506217581.15015,7673.400986376476,250573594072.10406,5194.0147951885665,85988063017.02034,1782.406362348206,212353167002.25568,4401.762976053811,108291044855.14,2244.7134875484735,38863246546.61206,805.5806400019962,33839393199.444305,701.442550697302,29364607750.101437,608.6867759177047,11383923953.511684,235.96641822049543,32950166196.965122,683.0100851524888,57776651080.380905,1197.623633827316,26268173113.98338,544.4995423914012,20770251707.86883,430.5339698471028,70449368751.96712,1460.3070384878463,9379605186.112085,194.4251243332798,473571376994.3489,9816.421386489046,48242775,216.7613333,482950982180.46094,10010.846510822326
2011,United States,697598546944.528,14450.224691262185,85780381034.30275,1776.8774094560297,309863253754.62775,6418.582384846223,301954912155.5974,6254.764896959932,610345504186.1984,12345.991619738412,358845220311.51044,7433.201055733884,130001111479.6178,2692.8750663945257,369988205476.9062,7515.540408305317,243052106859.28555,5034.641167739215,86592655546.95041,1793.7060601723963,208785841032.0406,4324.835215324832,104672038119.35933,2168.19590993121,38978267079.29974,807.4028161124819,33357916710.590557,690.9871915510607,28375909882.91347,587.7807776141735,11275244859.863964,233.55280952700195,32245350870.06665,667.9321728310591,56739053965.70884,1175.3055176655807,26306153433.02328,544.9061239218536,20486211309.873837,424.3589841430672,60915594552.29364,1261.8229377385194,10020855158.095392,207.57663497725767,463614788957.563,9603.421990025152,48275975,221.0613333,473635644115.6584,9810.99862500241
2012,United States,672172559696.3043,13941.876958341663,67307320737.18268,1396.0577137793966,305751279500.5009,6341.7464074052905,299113959458.62067,6204.072837156975,591938466306.7047,11993.055959433714,345441554521.27954,7164.98393258069,128817208222.63115,2671.864454974324,357938531701.0087,7269.847393536025,233688823089.34598,4847.06616317701,85762510879.61182,1778.8460908753323,203336708798.74622,4217.512298338632,101033141864.75487,2095.584620111314,38767998903.12058,804.1077164490987,32957824882.20572,683.5967050935274,26785534435.89419,555.5671814430451,11010085661.997066,228.37057119534524,31466240229.956905,652.652091332368,54528310028.7295,1130.9990637915917,26145524751.2508,542.2938980833078,20443188808.712013,424.0214813659205,56758919215.433945,1177.2633529807274,8497234915.551726,176.24975663964733,446185022239.8534,9254.553742856075,48212483,227.5535,454682257155.4051,9430.803499495722
2013,United States,664599529841.2793,13760.507843803138,60472778099.574486,1252.08127361797,304431233887.0798,6303.235372947071,299695517854.6251,6205.180078597168,591148542578.7299,11923.074599854634,341214941386.66473,7064.840039278812,130646375833.19351,2705.0319142532144,358229793152.3454,7231.475110876724,230786050665.79843,4778.413837348931,87500980041.57132,1811.704708839571,202008658573.58344,4182.576988622667,99931949711.59103,2069.0901276972527,39203640782.465775,811.7052623563087,32455906606.20069,671.9995390876246,26997654587.909424,558.9896726886667,10959969027.70087,226.92034271313773,31496724802.430653,652.1416463890276,54099559776.8942,1120.1252430765658,25773109740.415386,533.6280527303803,20225734032.032215,418.7724919372639,52243511704.302925,1081.6992200270972,7397984541.832143,153.1703974332983,453204952670.16895,9383.588130388323,48297621,231.3886667,460602937212.0011,9536.758527821621
2014,United States,676665062493.789,13986.75678583891,57918433004.19594,1197.184461389682,316226222209.64703,6536.435126197395,302520407279.94604,6253.137198251833,598534686487.4951,12045.986427471073,343307584886.1691,7096.210197998628,133688530870.21306,2763.3591092668166,361920074820.9363,7284.8163737877085,231885108444.17822,4793.09526460813,89568519993.63586,1851.3885264097466,205536571686.13742,4248.472624878185,100664708404.68808,2080.755182402155,40109589090.58083,829.0701380277374,32780606223.860474,677.5786621820595,26952558245.28488,557.1146375575026,11116620108.112507,229.78269097702443,31899905049.41295,659.3716574605619,55846097056.08772,1154.3438062632717,26167935971.218864,540.889273157467,20772849032.160015,429.38094899122933,52114513959.89918,1077.2131097732233,7501637385.336122,155.06061808212297,450164901778.16296,9304.97277619378,48378984,234.989,457666539163.4991,9460.033394275903
2015,United States,697223355625.5078,14371.462923316853,57947834123.21701,1194.4404751305783,327665106457.3589,6753.976651446864,311610415044.93195,6423.04579673941,617112001742.809,12383.453671937106,350156045897.68,7217.560307126462,141117294347.2586,2908.7738339204097,374262572095.23785,7503.617707567503,235839045991.48193,4861.21478530992,94682559117.08862,1951.636533846944,211333100394.82217,4356.084050607496,103567637856.12901,2134.7828413761354,42297756038.29513,871.8581700540859,34339547845.76377,707.8222144145149,28468185731.375988,586.8008562875867,11486525937.874008,236.77052019784608,32992935486.695744,680.0589386886392,56065570993.061295,1155.6436344627434,26263352253.701843,541.3512651325805,21716982146.349514,447.6366214235849,56559947534.86019,1165.8401703401403,8653876092.697985,178.37415481045204,461128282010.0895,9504.96507144359,48514436,236.6704167,469782158102.7875,9683.339226254042
2016,United States,724774184979.0837,14918.893934507474,58468865333.84289,1203.5323298344256,343412598264.5552,7068.877503494314,322892721380.6856,6646.484101178735,634080065781.6692,12702.805302448262,360197038042.1681,7414.3729531602885,147219424143.96973,3030.3905440727835,386278538563.81195,7733.0982828124515,241487614613.28577,4970.830090422998,98915581572.40797,2036.094940897355,215440108580.46948,4434.660978359319,106678310566.11429,2195.8841566474152,43913642237.86595,903.9315998371505,35688334425.30213,734.6178799111385,29414771378.387634,605.4755381422007,11861991360.726778,244.1707073950543,34130381472.670868,702.545569930894,55459087458.21801,1141.5798576604648,26434535663.844563,544.138595149679,22451006821.31948,462.13283016988845,61733499287.47745,1270.7329981869718,8801642903.40578,181.17075573689027,463775089022.86176,9546.436452574288,48580946,238.2429167,472576731926.2675,9727.607208311178
