year,state,all_instruction_pp,cpi
2014,Wisconsin,6572.45,234.989
2014,Wyoming,9338.01,234.989
2015,United States,6902.73,236.6704167
2015,Alabama,5190.67,236.6704167
2015,Alaska,11354.14,236.6704167
2015,Arizona,4016.2,236.6704167
2015,Arkansas,5454.81,236.6704167
2015,California,6254.84,236.6704167
2015,Colorado,5240.11,236.6704167
2015,Connecticut,11341.03,236.6704167
2015,Delaware,8718.33,236.6704167
2015,District of Columbia,10399.85,236.6704167
2015,Florida,5442.1,236.6704167
2015,Georgia,5764.69,236.6704167
2015,Hawaii,7553.91,236.6704167
2015,Idaho,4125.09,236.6704167
2015,Illinois,8331.36,236.6704167
2015,Indiana,5510.39,236.6704167
2015,Iowa,6696.69,236.6704167
2015,Kansas,6136.91,236.6704167
2015,Kentucky,5530.7,236.6704167
2015,Louisiana,6203.95,236.6704167
2015,Maine,7619.2,236.6704167
2015,Maryland,8792.99,236.6704167
2015,Massachusetts,9614.47,236.6704167
2015,Michigan,6721.76,236.6704167
2015,Minnesota,7753.98,236.6704167
2015,Mississippi,4795.85,236.6704167
2015,Missouri,6034.83,236.6704167
2015,Montana,6515.87,236.6704167
2015,Nebraska,7834.93,236.6704167
2015,Nevada,4944.6,236.6704167
2015,New Hampshire,9190.46,236.6704167
2015,New Jersey,10578.69,236.6704167
2015,New Mexico,5436.15,236.6704167
2015,New York,14768.55,236.6704167
2015,North Carolina,5433.37,236.6704167
2015,North Dakota,7782.74,236.6704167
2015,Ohio,6654.58,236.6704167
2015,Oklahoma,4465.94,236.6704167
2015,Oregon,6073.87,236.6704167
2015,Pennsylvania,8987.81,236.6704167
2015,Rhode Island,8874.14,236.6704167
2015,South Carolina,5475.7,236.6704167
2015,South Dakota,5254.27,236.6704167
2015,Tennessee,5369.63,236.6704167
2015,Texas,5343.97,236.6704167
2015,Utah,4125.42,236.6704167
2015,Vermont,10823.3,236.6704167
2015,Virginia,6838.32,236.6704167
2015,Washington,6069.76,236.6704167
2015,West Virginia,6500.56,236.6704167
2015,Wisconsin,6641.2,236.6704167
2015,Wyoming,9544.46,236.6704167
2016,United States,7161.1,238.2429167
2016,Alabama,5262.98,238.2429167
2016,Alaska,9448.72,238.2429167
2016,Arizona,4077.11,238.2429167
2016,Arkansas,5539.31,238.2429167
2016,California,6849.2,238.2429167
2016,Colorado,5422.8,238.2429167
2016,Connecticut,11656.44,238.2429167
2016,Delaware,9190.78,238.2429167
2016,District of Columbia,11833.42,238.2429167
2016,Florida,5478.03,238.2429167
2016,Georgia,5974.95,238.2429167
2016,Hawaii,8066.4,238.2429167
2016,Idaho,4261.66,238.2429167
2016,Illinois,8635.97,238.2429167
2016,Indiana,5705.51,238.2429167
2016,Iowa,6786.64,238.2429167
2016,Kansas,6063.4,238.2429167
2016,Kentucky,5707.66,238.2429167
2016,Louisiana,6199.04,238.2429167
2016,Maine,7591.08,238.2429167
2016,Maryland,8848.43,238.2429167
2016,Massachusetts,9712.84,238.2429167
2016,Michigan,6822.92,238.2429167
2016,Minnesota,8073.51,238.2429167
