year,state,total_revenue,total_revenue_pp,federal_revenue,federal_revenue_pp,state_revenue,state_revenue_pp,local_revenue,local_revenue_pp,current_spending,current_spending_pp,total_salary,total_salary_pp,total_benefits,total_benefits_pp,all_instruction,all_instruction_pp,instructional_staff_salary,instructional_staff_salary_pp,instructional_staff_benefits,instructional_staff_benefits_pp,all_support_services,all_support_services_pp,support_services_staff_salary,support_services_staff_salary_pp,support_services_staff_benefits,support_services_staff_benefits_pp,ss_pupil_support_services,ss_pupil_support_services_pp,ss_instructional_staff_support_services,ss_instructional_staff_support_services_pp,ss_general_administration,ss_general_administration_pp,ss_school_administration,ss_school_administration_pp,ss_operation_and_maintenance_of_plant,ss_operation_and_maintenance_of_plant_pp,ss_pupil_transportation,ss_pupil_transportation_pp,ss_other_nonspecified_support_services,ss_other_nonspecified_support_services_pp,total_capital_outlay,total_capital_outlay_pp,short_term_debt,short_term_debt_pp,long_term_debt,long_term_debt_pp,enrollment,cpi
2002,Oregon,4733909000,8605.26,395295000,718.56,2662513000,4839.89,1676101000,3046.8,4244501000,7621,2470090000,4490.11,1001847000,1821.15,2475697000,4461,1607692000,2922.45,641752000,1166.57,1597299000,2903.56,824162000,1498.15,339089000,616.39,288361000,524.18,179068000,325.51,61423000,111.65,272307000,495,358679000,652,179873000,326.97,257588000,468.24,557041000,1012.58,0,0,3050911000,5545.92,550118,178.1666667
2002,Pennsylvania,17732415000,9996.46,1290818000,727.69,6637673000,3741.92,9803924000,5526.86,15879830000,8841,9844907000,5549.96,2540014000,1431.91,9673879000,5440,6932388000,3908.06,1695128000,955.61,5448465000,3071.51,2640083000,1488.32,697230000,393.06,767919000,432.91,568372000,320.41,462192000,260.56,665653000,375.25,1544009000,870.42,866208000,488.32,574112000,323.65,2252267000,1269.69,12228000,6.89,17727797000,9993.86,1773869,178.1666667
2002,Rhode Island,1626174000,10382.66,96488000,616.05,676371000,4318.44,853315000,5448.18,1504739000,9178,940604000,6005.49,296257000,1891.52,964169000,5828,675503000,4312.9,201335000,1285.47,484397000,3092.74,259206000,1654.96,80315000,512.79,119138000,760.66,61799000,394.57,18933000,120.88,75516000,482.15,119551000,763.3,57562000,367.52,31898000,203.66,27003000,172.41,0,0,187483000,1197.03,156624,178.1666667
2002,South Carolina,5618192000,8336.64,494207000,733.34,2857497000,4240.14,2266488000,3363.16,4768154000,6984,3050821000,4527,851509000,1263.52,2832106000,4199,2056352000,3051.35,558545000,828.81,1620800000,2405.05,870452000,1291.63,250334000,371.46,311483000,462.2,280277000,415.89,58515000,86.83,282960000,419.87,416746000,618.39,147748000,219.24,123071000,182.62,956612000,1419.48,0,0,3692260000,5478.81,673916,178.1666667
2002,South Dakota,927296000,7294.13,127130000,1000.01,346086000,2722.32,454080000,3571.81,807544000,6319,510871000,4018.52,122257000,961.68,485846000,3821,352852000,2775.54,82481000,648.8,279064000,2195.12,141357000,1111.92,35396000,278.43,41988000,330.28,36954000,290.68,27312000,214.84,40435000,318.06,75746000,595.82,26532000,208.7,30097000,236.74,149374000,1174.98,0,0,456901000,3594,127129,178.1666667
2002,Tennessee,5761488000,6418.04,550490000,613.22,2544653000,2834.63,2666345000,2970.19,5431859000,5984,3577153000,3984.79,791368000,881.55,3478604000,3875,2523408000,2810.96,535286000,596.28,1624709000,1809.85,897913000,1000.24,204957000,228.31,181851000,202.57,277384000,308.99,106699000,118.86,281722000,313.83,504729000,562.25,186829000,208.12,85495000,95.24,762594000,849.5,0,0,3132924000,3489.94,897702,178.1666667
2002,Texas,32674518000,7945.53,2941562000,715.31,12930564000,3144.35,16802392000,4085.87,27989588000,6746,19213102000,4672.09,2973773000,723.14,16826484000,4092,12978938000,3156.11,1881250000,457.47,9580137000,2329.62,5633169000,1369.83,934573000,227.26,1363390000,331.54,1611196000,391.8,455666000,110.81,1530585000,372.2,2983457000,725.49,734223000,178.54,901620000,219.25,5399775000,1313.07,1295905000,315.13,27328489000,6645.52,4112315,178.1666667
2002,Utah,2864029000,5960.2,238599000,496.54,1680625000,3497.47,944805000,1966.19,2419051000,4890,1488209000,3097.04,507097000,1055.3,1534954000,3194,1046542000,2177.91,354225000,737.16,683525000,1422.45,396089000,824.28,135391000,281.76,82575000,171.84,100356000,208.85,24673000,51.35,140351000,292.08,215481000,448.43,70780000,147.3,49309000,102.61,426219000,886.98,0,0,1374246000,2859.88,480526,178.1666667
2002,Vermont,1071806000,10993.78,68819000,705.89,766164000,7858.74,236823000,2429.15,986166000,9678,591065000,6062.7,165225000,1694.75,628188000,6045,417926000,4286.77,117177000,1201.91,326292000,3346.86,162844000,1670.33,45718000,468.94,71587000,734.29,34164000,350.43,24814000,254.52,66973000,686.96,76459000,784.26,32052000,328.77,20243000,207.64,65657000,673.46,5600000,57.44,241301000,2475.09,97492,178.1666667
2002,Virginia,9761048000,8399.89,624507000,537.42,4002347000,3444.23,5134194000,4418.24,8776979000,7501,6028916000,5188.19,1506524000,1296.44,5373701000,4622,4030349000,3468.32,993472000,854.93,3003921000,2585.03,1815367000,1562.22,463146000,398.56,411227000,353.88,549341000,472.74,148465000,127.76,512886000,441.37,846275000,728.26,403765000,347.46,131962000,113.56,1127185000,970,0,0,5091080000,4381.14,1162045,178.1666667
